Question,Question_Dir,Answer
rootspowers2Q2,DATA/MATH/ALG/rootspowers2Q2.png,1
rootspowers2Q3,DATA/MATH/ALG/rootspowers2Q3.png,1
rootspowers2Q4,DATA/MATH/ALG/rootspowers2Q4.png,1
rootspowers2Q5,DATA/MATH/ALG/rootspowers2Q5.png,4
rootspowers2Q6,DATA/MATH/ALG/rootspowers2Q6.png,3
rootspowers2Q7,DATA/MATH/ALG/rootspowers2Q7.png,4
rootspowers3Q2,DATA/MATH/ALG/rootspowers3Q2.png,4
rootspowers3Q3,DATA/MATH/ALG/rootspowers3Q3.png,2
rootspowers3Q4,DATA/MATH/ALG/rootspowers3Q4.png,2
rootspowers3Q5,DATA/MATH/ALG/rootspowers3Q5.png,3
rootspowers3Q6,DATA/MATH/ALG/rootspowers3Q6.png,2
rootspowers3Q7,DATA/MATH/ALG/rootspowers3Q7.png,4
rootspowers6Q2,DATA/MATH/ALG/rootspowers6Q2.png,4
rootspowers6Q3,DATA/MATH/ALG/rootspowers6Q3.png,4
rootspowers6Q4,DATA/MATH/ALG/rootspowers6Q4.png,4
rootspowers6Q5,DATA/MATH/ALG/rootspowers6Q5.png,3
rootspowers6Q6,DATA/MATH/ALG/rootspowers6Q6.png,4
rootspowers7Q2,DATA/MATH/ALG/rootspowers7Q2.png,3
rootspowers7Q3,DATA/MATH/ALG/rootspowers7Q3.png,1
rootspowers7Q4,DATA/MATH/ALG/rootspowers7Q4.png,3
rootspowers7Q5,DATA/MATH/ALG/rootspowers7Q5.png,2
rootspowers7Q6,DATA/MATH/ALG/rootspowers7Q6.png,1
rootspowers7Q7,DATA/MATH/ALG/rootspowers7Q7.png,2
rootspowers7Q8,DATA/MATH/ALG/rootspowers7Q8.png,2
aeq1Q2,DATA/MATH/ALG/aeq1Q2.png,2
aeq1Q3,DATA/MATH/ALG/aeq1Q3.png,3
aeq1Q4,DATA/MATH/ALG/aeq1Q4.png,1
aeq1Q5,DATA/MATH/ALG/aeq1Q5.png,1
aeq1Q6,DATA/MATH/ALG/aeq1Q6.png,2
aeq2Q2,DATA/MATH/ALG/aeq2Q2.png,4
aeq2Q3,DATA/MATH/ALG/aeq2Q3.png,4
aeq2Q4,DATA/MATH/ALG/aeq2Q4.png,3
aeq2Q5,DATA/MATH/ALG/aeq2Q5.png,1
aeq2Q6,DATA/MATH/ALG/aeq2Q6.png,1
aeq3Q2,DATA/MATH/ALG/aeq3Q2.png,4
aeq3Q3,DATA/MATH/ALG/aeq3Q3.png,3
aeq3Q4,DATA/MATH/ALG/aeq3Q4.png,4
aeq3Q5,DATA/MATH/ALG/aeq3Q5.png,3
aeq3Q6,DATA/MATH/ALG/aeq3Q6.png,2
aeq4Q2,DATA/MATH/ALG/aeq4Q2.png,4
aeq4Q3,DATA/MATH/ALG/aeq4Q3.png,1
aeq4Q4,DATA/MATH/ALG/aeq4Q4.png,2
aeq4Q5,DATA/MATH/ALG/aeq4Q5.png,3
aeq5Q2,DATA/MATH/ALG/aeq5Q2.png,4
aeq5Q3,DATA/MATH/ALG/aeq5Q3.png,4
aeq5Q4,DATA/MATH/ALG/aeq5Q4.png,4
aeq5Q5,DATA/MATH/ALG/aeq5Q5.png,1
aeq6Q2,DATA/MATH/ALG/aeq6Q2.png,3
aeq6Q3,DATA/MATH/ALG/aeq6Q3.png,1
aeq6Q4,DATA/MATH/ALG/aeq6Q4.png,4
aeq6Q5,DATA/MATH/ALG/aeq6Q5.png,3
aeq6Q6,DATA/MATH/ALG/aeq6Q6.png,2
star1Q2,DATA/MATH/ALG/star1Q2.png,3
star1Q3,DATA/MATH/ALG/star1Q3.png,3
star1Q4,DATA/MATH/ALG/star1Q4.png,1
star1Q5,DATA/MATH/ALG/star1Q5.png,2
star1Q6,DATA/MATH/ALG/star1Q6.png,3
star3Q2,DATA/MATH/ALG/star3Q2.png,1
star3Q3,DATA/MATH/ALG/star3Q3.png,2
eish1Q2,DATA/MATH/ALG/eish1Q2.png,2
eish1Q3,DATA/MATH/ALG/eish1Q3.png,2
eish1Q4,DATA/MATH/ALG/eish1Q4.png,1
eish2Q2,DATA/MATH/ALG/eish2Q2.png,3
eish2Q3,DATA/MATH/ALG/eish2Q3.png,3
eish2Q4,DATA/MATH/ALG/eish2Q4.png,4
eish2Q5,DATA/MATH/ALG/eish2Q5.png,3
eish2Q6,DATA/MATH/ALG/eish2Q6.png,1
eish3Q2,DATA/MATH/ALG/eish3Q2.png,3
eish3Q3,DATA/MATH/ALG/eish3Q3.png,1
eish3Q4,DATA/MATH/ALG/eish3Q4.png,4
eish3Q5,DATA/MATH/ALG/eish3Q5.png,1
eish3Q6,DATA/MATH/ALG/eish3Q6.png,1
int1Q2,DATA/MATH/ALG/int1Q2.png,2
int1Q3,DATA/MATH/ALG/int1Q3.png,1
int1Q4,DATA/MATH/ALG/int1Q4.png,2
int1Q5,DATA/MATH/ALG/int1Q5.png,3
int1Q6,DATA/MATH/ALG/int1Q6.png,4
int3Q2,DATA/MATH/ALG/int3Q2.png,1
int3Q3,DATA/MATH/ALG/int3Q3.png,1
int3Q4,DATA/MATH/ALG/int3Q4.png,1
ratio2Q2,DATA/MATH/PROB/ratio2Q2.png,4
ratio2Q3,DATA/MATH/PROB/ratio2Q3.png,3
ratio2Q4,DATA/MATH/PROB/ratio2Q4.png,3
ratio2Q5,DATA/MATH/PROB/ratio2Q5.png,1
ratio4Q2,DATA/MATH/PROB/ratio4Q2.png,1
ratio4Q3,DATA/MATH/PROB/ratio4Q3.png,2
ratio4Q4,DATA/MATH/PROB/ratio4Q4.png,1
ratio4Q5,DATA/MATH/PROB/ratio4Q5.png,2
ratio4Q6,DATA/MATH/PROB/ratio4Q6.png,3
ratio4Q7,DATA/MATH/PROB/ratio4Q7.png,2
percent1Q2,DATA/MATH/PROB/percent1Q2.png,3
percent1Q3,DATA/MATH/PROB/percent1Q3.png,3
percent1Q4,DATA/MATH/PROB/percent1Q4.png,2
percent1Q5,DATA/MATH/PROB/percent1Q5.png,2
percent1Q6,DATA/MATH/PROB/percent1Q6.png,2
percent1Q7,DATA/MATH/PROB/percent1Q7.png,3
percent1Q8,DATA/MATH/PROB/percent1Q8.png,1
percent4Q2,DATA/MATH/PROB/percent4Q2.png,1
percent4Q3,DATA/MATH/PROB/percent4Q3.png,3
percent4Q4,DATA/MATH/PROB/percent4Q4.png,4
percent4Q5,DATA/MATH/PROB/percent4Q5.png,3
percent4Q6,DATA/MATH/PROB/percent4Q6.png,2
percent4Q7,DATA/MATH/PROB/percent4Q7.png,3
percent5Q2,DATA/MATH/PROB/percent5Q2.png,2
percent5Q3,DATA/MATH/PROB/percent5Q3.png,2
percent5Q4,DATA/MATH/PROB/percent5Q4.png,4
percent5Q5,DATA/MATH/PROB/percent5Q5.png,4
percent5Q6,DATA/MATH/PROB/percent5Q6.png,1
percent5Q7,DATA/MATH/PROB/percent5Q7.png,2
eqpro2Q2,DATA/MATH/PROB/eqpro2Q2.png,2
eqpro2Q3,DATA/MATH/PROB/eqpro2Q3.png,2
eqpro2Q4,DATA/MATH/PROB/eqpro2Q4.png,2
eqpro2Q5,DATA/MATH/PROB/eqpro2Q5.png,4
eqpro3Q2,DATA/MATH/PROB/eqpro3Q2.png,1
eqpro3Q3,DATA/MATH/PROB/eqpro3Q3.png,4
eqpro3Q4,DATA/MATH/PROB/eqpro3Q4.png,3
eqpro3Q5,DATA/MATH/PROB/eqpro3Q5.png,3
eqpro3Q6,DATA/MATH/PROB/eqpro3Q6.png,2
pace3Q2,DATA/MATH/PROB/pace3Q2.png,1
pace3Q3,DATA/MATH/PROB/pace3Q3.png,3
pace3Q4,DATA/MATH/PROB/pace3Q4.png,2
pace3Q5,DATA/MATH/PROB/pace3Q5.png,4
pace3Q6,DATA/MATH/PROB/pace3Q6.png,2
pace3Q7,DATA/MATH/PROB/pace3Q7.png,3
pace3Q8,DATA/MATH/PROB/pace3Q8.png,1
asquares2Q2,DATA/MATH/GEO/asquares2Q2.png,2
asquares2Q3,DATA/MATH/GEO/asquares2Q3.png,2
asquares2Q4,DATA/MATH/GEO/asquares2Q4.png,4
asquares2Q5,DATA/MATH/GEO/asquares2Q5.png,2
asquares3Q2,DATA/MATH/GEO/asquares3Q2.png,3
asquares3Q3,DATA/MATH/GEO/asquares3Q3.png,2
asquares3Q4,DATA/MATH/GEO/asquares3Q4.png,2
asquares3Q5,DATA/MATH/GEO/asquares3Q5.png,3
poly1Q2,DATA/MATH/GEO/poly1Q2.png,3
poly1Q3,DATA/MATH/GEO/poly1Q3.png,1
poly1Q4,DATA/MATH/GEO/poly1Q4.png,2
poly1Q5,DATA/MATH/GEO/poly1Q5.png,1
volume2Q2,DATA/MATH/GEO/volume2Q2.png,3
volume2Q3,DATA/MATH/GEO/volume2Q3.png,2
volume2Q4,DATA/MATH/GEO/volume2Q4.png,1
volume2Q5,DATA/MATH/GEO/volume2Q5.png,2
volume2Q6,DATA/MATH/GEO/volume2Q6.png,3
aeq4Q6,DATA/MATH/ALG/aeq4Q6.png,1
aeq5Q6,DATA/MATH/ALG/aeq5Q6.png,2
star3Q4,DATA/MATH/ALG/star3Q4.png,3
eish1Q5,DATA/MATH/ALG/eish1Q5.png,3
eish1Q6,DATA/MATH/ALG/eish1Q6.png,2
int3Q5,DATA/MATH/ALG/int3Q5.png,1
int3Q6,DATA/MATH/ALG/int3Q6.png,1
ratio2Q6,DATA/MATH/PROB/ratio2Q6.png,4
ratio2Q7,DATA/MATH/PROB/ratio2Q7.png,4
percent4Q8,DATA/MATH/PROB/percent4Q8.png,2